Time	Node	Type	Packets	
0.5	Router0	CacheHits	0
0.5	Router0	CacheMisses	0
1	Router0	CacheHits	0
1	Router0	CacheMisses	0
1.5	Router0	CacheHits	0
1.5	Router0	CacheMisses	0
2	Router0	CacheHits	0
2	Router0	CacheMisses	0
2.5	Router0	CacheHits	0
2.5	Router0	CacheMisses	39
3	Router0	CacheHits	0
3	Router0	CacheMisses	43
3.5	Router0	CacheHits	44
3.5	Router0	CacheMisses	43
4	Router0	CacheHits	46
4	Router0	CacheMisses	44
4.5	Router0	CacheHits	46
4.5	Router0	CacheMisses	43
5	Router0	CacheHits	46
5	Router0	CacheMisses	46
5.5	Router0	CacheHits	45
5.5	Router0	CacheMisses	43
6	Router0	CacheHits	46
6	Router0	CacheMisses	44
6.5	Router0	CacheHits	46
6.5	Router0	CacheMisses	43
7	Router0	CacheHits	46
7	Router0	CacheMisses	44
7.5	Router0	CacheHits	46
7.5	Router0	CacheMisses	41
8	Router0	CacheHits	46
8	Router0	CacheMisses	43
8.5	Router0	CacheHits	47
8.5	Router0	CacheMisses	43
9	Router0	CacheHits	46
9	Router0	CacheMisses	44
9.5	Router0	CacheHits	46
9.5	Router0	CacheMisses	43
10	Router0	CacheHits	46
10	Router0	CacheMisses	44
10.5	Router0	CacheHits	46
10.5	Router0	CacheMisses	44
11	Router0	CacheHits	45
11	Router0	CacheMisses	45
11.5	Router0	CacheHits	46
11.5	Router0	CacheMisses	43
12	Router0	CacheHits	46
12	Router0	CacheMisses	44
12.5	Router0	CacheHits	46
12.5	Router0	CacheMisses	40
13	Router0	CacheHits	46
13	Router0	CacheMisses	44
13.5	Router0	CacheHits	46
13.5	Router0	CacheMisses	44
14	Router0	CacheHits	46
14	Router0	CacheMisses	45
14.5	Router0	CacheHits	47
14.5	Router0	CacheMisses	44
15	Router0	CacheHits	45
15	Router0	CacheMisses	45
15.5	Router0	CacheHits	46
15.5	Router0	CacheMisses	44
16	Router0	CacheHits	46
16	Router0	CacheMisses	45
16.5	Router0	CacheHits	46
16.5	Router0	CacheMisses	44
17	Router0	CacheHits	45
17	Router0	CacheMisses	43
17.5	Router0	CacheHits	46
17.5	Router0	CacheMisses	44
18	Router0	CacheHits	46
18	Router0	CacheMisses	43
18.5	Router0	CacheHits	46
18.5	Router0	CacheMisses	41
19	Router0	CacheHits	46
19	Router0	CacheMisses	44
19.5	Router0	CacheHits	46
19.5	Router0	CacheMisses	43
20	Router0	CacheHits	46
20	Router0	CacheMisses	46
20.5	Router0	CacheHits	46
20.5	Router0	CacheMisses	43
21	Router0	CacheHits	46
21	Router0	CacheMisses	41
21.5	Router0	CacheHits	46
21.5	Router0	CacheMisses	46
22	Router0	CacheHits	45
22	Router0	CacheMisses	40
22.5	Router0	CacheHits	47
22.5	Router0	CacheMisses	44
23	Router0	CacheHits	45
23	Router0	CacheMisses	44
23.5	Router0	CacheHits	48
23.5	Router0	CacheMisses	45
24	Router0	CacheHits	45
24	Router0	CacheMisses	41
24.5	Router0	CacheHits	47
24.5	Router0	CacheMisses	46
25	Router0	CacheHits	45
25	Router0	CacheMisses	45
25.5	Router0	CacheHits	46
25.5	Router0	CacheMisses	42
26	Router0	CacheHits	46
26	Router0	CacheMisses	46
26.5	Router0	CacheHits	45
26.5	Router0	CacheMisses	43
27	Router0	CacheHits	47
27	Router0	CacheMisses	46
27.5	Router0	CacheHits	45
27.5	Router0	CacheMisses	43
28	Router0	CacheHits	46
28	Router0	CacheMisses	43
28.5	Router0	CacheHits	46
28.5	Router0	CacheMisses	46
29	Router0	CacheHits	46
29	Router0	CacheMisses	43
29.5	Router0	CacheHits	46
29.5	Router0	CacheMisses	44
30	Router0	CacheHits	45
30	Router0	CacheMisses	45
30.5	Router0	CacheHits	46
30.5	Router0	CacheMisses	43
31	Router0	CacheHits	46
31	Router0	CacheMisses	46
31.5	Router0	CacheHits	46
31.5	Router0	CacheMisses	44
32	Router0	CacheHits	46
32	Router0	CacheMisses	43
32.5	Router0	CacheHits	46
32.5	Router0	CacheMisses	45
33	Router0	CacheHits	45
33	Router0	CacheMisses	46
33.5	Router0	CacheHits	46
33.5	Router0	CacheMisses	45
34	Router0	CacheHits	46
34	Router0	CacheMisses	44
34.5	Router0	CacheHits	45
34.5	Router0	CacheMisses	43
35	Router0	CacheHits	46
35	Router0	CacheMisses	46
35.5	Router0	CacheHits	45
35.5	Router0	CacheMisses	45
36	Router0	CacheHits	25
36	Router0	CacheMisses	68
36.5	Router0	CacheHits	65
36.5	Router0	CacheMisses	19
37	Router0	CacheHits	46
37	Router0	CacheMisses	46
37.5	Router0	CacheHits	45
37.5	Router0	CacheMisses	45
38	Router0	CacheHits	46
38	Router0	CacheMisses	44
38.5	Router0	CacheHits	46
38.5	Router0	CacheMisses	43
39	Router0	CacheHits	11
39	Router0	CacheMisses	81
39.5	Router0	CacheHits	0
39.5	Router0	CacheMisses	90
40	Router0	CacheHits	0
40	Router0	CacheMisses	90
40.5	Router0	CacheHits	40
40.5	Router0	CacheMisses	46
41	Router0	CacheHits	46
41	Router0	CacheMisses	44
41.5	Router0	CacheHits	5
41.5	Router0	CacheMisses	87
42	Router0	CacheHits	0
42	Router0	CacheMisses	90
42.5	Router0	CacheHits	0
42.5	Router0	CacheMisses	90
43	Router0	CacheHits	0
43	Router0	CacheMisses	89
43.5	Router0	CacheHits	0
43.5	Router0	CacheMisses	89
44	Router0	CacheHits	0
44	Router0	CacheMisses	87
44.5	Router0	CacheHits	0
44.5	Router0	CacheMisses	90
45	Router0	CacheHits	0
45	Router0	CacheMisses	87
45.5	Router0	CacheHits	0
45.5	Router0	CacheMisses	88
46	Router0	CacheHits	0
46	Router0	CacheMisses	88
46.5	Router0	CacheHits	26
46.5	Router0	CacheMisses	64
47	Router0	CacheHits	5
47	Router0	CacheMisses	86
47.5	Router0	CacheHits	0
47.5	Router0	CacheMisses	88
48	Router0	CacheHits	0
48	Router0	CacheMisses	90
48.5	Router0	CacheHits	0
48.5	Router0	CacheMisses	88
49	Router0	CacheHits	0
49	Router0	CacheMisses	91
49.5	Router0	CacheHits	0
49.5	Router0	CacheMisses	90
50	Router0	CacheHits	0
50	Router0	CacheMisses	88
50.5	Router0	CacheHits	0
50.5	Router0	CacheMisses	91
51	Router0	CacheHits	0
51	Router0	CacheMisses	89
51.5	Router0	CacheHits	0
51.5	Router0	CacheMisses	86
52	Router0	CacheHits	0
52	Router0	CacheMisses	92
52.5	Router0	CacheHits	0
52.5	Router0	CacheMisses	88
53	Router0	CacheHits	0
53	Router0	CacheMisses	89
53.5	Router0	CacheHits	0
53.5	Router0	CacheMisses	89
54	Router0	CacheHits	0
54	Router0	CacheMisses	92
54.5	Router0	CacheHits	0
54.5	Router0	CacheMisses	86
55	Router0	CacheHits	0
55	Router0	CacheMisses	91
55.5	Router0	CacheHits	0
55.5	Router0	CacheMisses	89
56	Router0	CacheHits	0
56	Router0	CacheMisses	84
56.5	Router0	CacheHits	16
56.5	Router0	CacheMisses	73
57	Router0	CacheHits	0
57	Router0	CacheMisses	90
57.5	Router0	CacheHits	0
