Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
3.71203	Streamer0	0	2	0	624758	0	
5.71203	Streamer0	1	2	0	624758	0	
7.71203	Streamer0	2	2	0	624758	0	
9.71203	Streamer0	3	2	0	624758	0	
11.712	Streamer0	4	2	0	624758	0	
13.712	Streamer0	5	2	0	624758	0	
15.712	Streamer0	6	2	0	624758	0	
17.712	Streamer0	7	2	0	624758	0	
19.712	Streamer0	8	2	0	624758	0	
21.712	Streamer0	9	2	0	624758	0	
23.712	Streamer0	10	2	0	624758	0	
25.712	Streamer0	11	2	0	624758	0	
27.712	Streamer0	12	2	0	624758	0	
29.712	Streamer0	13	2	0	624758	0	
31.712	Streamer0	14	2	1	2122081	0	0
33.712	Streamer0	15	2	1	2122081	0	0
35.712	Streamer0	16	2	1	2122081	0	0
37.712	Streamer0	17	2	1	2122081	0	0
39.712	Streamer0	18	2	1	2122081	0	0
41.712	Streamer0	19	2	1	2122081	0	0
43.712	Streamer0	20	2	1	2122081	0	0
45.712	Streamer0	21	2	1	2122081	0	0
47.712	Streamer0	22	2	1	2122081	0	0
49.712	Streamer0	23	2	1	2122081	0	0
51.712	Streamer0	24	2	1	2122081	0	0
53.712	Streamer0	25	2	1	2122081	0	0
55.712	Streamer0	26	2	1	2122081	0	0
57.712	Streamer0	27	2	1	2122081	0	0
59.712	Streamer0	28	2	1	2122081	0	0
61.712	Streamer0	29	2	1	2122081	0	0
63.712	Streamer0	30	2	1	2122081	0	0
65.712	Streamer0	31	2	1	2122081	0	0
67.712	Streamer0	32	2	1	2122081	0	0
69.712	Streamer0	33	2	1	2122081	0	0
71.712	Streamer0	34	2	1	2122081	0	0
73.712	Streamer0	35	2	2	5108358	0	0,1
75.712	Streamer0	36	2	2	5108358	0	0,1
77.712	Streamer0	37	2	2	5108358	0	0,1
79.712	Streamer0	38	2	2	5108358	0	0,1
81.712	Streamer0	39	2	2	5108358	0	0,1
83.712	Streamer0	40	2	1	2122081	0	0
85.712	Streamer0	41	2	1	2122081	0	0
87.712	Streamer0	42	2	1	2122081	0	0
89.712	Streamer0	43	2	1	2122081	0	0
91.712	Streamer0	44	2	1	2122081	0	0
93.712	Streamer0	45	2	1	2122081	0	0
95.712	Streamer0	46	2	1	2122081	0	0
97.712	Streamer0	47	2	1	2122081	0	0
99.712	Streamer0	48	2	1	2122081	0	0
101.712	Streamer0	49	2	1	2122081	0	0
103.712	Streamer0	50	2	1	2122081	0	0
105.712	Streamer0	51	2	1	2122081	0	0
107.712	Streamer0	52	2	1	2122081	0	0
109.712	Streamer0	53	2	1	2122081	0	0
111.712	Streamer0	54	2	1	2122081	0	0
113.712	Streamer0	55	2	1	2122081	0	0
115.712	Streamer0	56	2	1	2122081	0	0
117.712	Streamer0	57	2	1	2122081	0	0
119.712	Streamer0	58	2	1	2122081	0	0
121.712	Streamer0	59	2	1	2122081	0	0
123.712	Streamer0	60	2	1	2122081	0	0
125.712	Streamer0	61	2	1	2122081	0	0
127.712	Streamer0	62	2	1	2122081	0	0
129.712	Streamer0	63	2	1	2122081	0	0
131.712	Streamer0	64	2	1	2122081	0	0
133.712	Streamer0	65	2	1	2122081	0	0
135.712	Streamer0	66	2	1	2122081	0	0
137.712	Streamer0	67	2	1	2122081	0	0
139.712	Streamer0	68	2	1	2122081	0	0
141.712	Streamer0	69	2	1	2122081	0	0
143.712	Streamer0	70	2	1	2122081	0	0
145.712	Streamer0	71	2	1	2122081	0	0
147.712	Streamer0	72	2	1	2122081	0	0
149.712	Streamer0	73	2	1	2122081	0	0
151.712	Streamer0	74	2	1	2122081	0	0
153.712	Streamer0	75	2	1	2122081	0	0
155.712	Streamer0	76	2	2	5108358	0	0,1
157.712	Streamer0	77	2	2	5108358	0	0,1
159.712	Streamer0	78	2	2	5108358	0	0,1
161.712	Streamer0	79	2	2	5108358	0	0,1
163.712	Streamer0	80	2	2	5108358	0	0,1
165.712	Streamer0	81	2	2	5108358	0	0,1
167.712	Streamer0	82	2	2	5108358	0	0,1
169.712	Streamer0	83	2	2	5108358	0	0,1
171.712	Streamer0	84	2	2	5108358	0	0,1
173.712	Streamer0	85	2	2	5108358	0	0,1
175.712	Streamer0	86	2	2	5108358	0	0,1
177.712	Streamer0	87	2	2	5108358	0	0,1
179.712	Streamer0	88	2	2	5108358	0	0,1
181.712	Streamer0	89	2	2	5108358	0	0,1
183.712	Streamer0	90	2	1	2122081	0	0
185.712	Streamer0	91	2	1	2122081	0	0
187.712	Streamer0	92	2	1	2122081	0	0
189.712	Streamer0	93	2	1	2122081	0	0
191.712	Streamer0	94	2	1	2122081	0	0
193.712	Streamer0	95	2	1	2122081	0	0
195.712	Streamer0	96	2	1	2122081	0	0
197.712	Streamer0	97	2	1	2122081	0	0
199.712	Streamer0	98	2	1	2122081	0	0
201.712	Streamer0	99	2	1	2122081	0	0
203.712	Streamer0	100	2	1	2122081	0	0
205.712	Streamer0	101	2	1	2122081	0	0
207.712	Streamer0	102	2	1	2122081	0	0
209.712	Streamer0	103	2	1	2122081	0	0
211.712	Streamer0	104	2	1	2122081	0	0
213.712	Streamer0	105	2	1	2122081	0	0
215.712	Streamer0	106	2	2	5108358	0	0,1
217.712	Streamer0	107	2	2	5108358	0	0,1
219.712	Streamer0	108	2	2	5108358	0	0,1
221.712	Streamer0	109	2	2	5108358	0	0,1
223.712	Streamer0	110	2	2	5108358	0	0,1
225.712	Streamer0	111	2	2	5108358	0	0,1
227.712	Streamer0	112	2	2	5108358	0	0,1
229.712	Streamer0	113	2	2	5108358	0	0,1
231.712	Streamer0	114	2	2	5108358	0	0,1
233.712	Streamer0	115	2	2	5108358	0	0,1
235.712	Streamer0	116	2	2	5108358	0	0,1
237.712	Streamer0	117	2	1	2122081	0	0
239.712	Streamer0	118	2	1	2122081	0	0
241.712	Streamer0	119	2	1	2122081	0	0
243.712	Streamer0	120	2	1	2122081	0	0
245.712	Streamer0	121	2	1	2122081	0	0
247.712	Streamer0	122	2	1	2122081	0	0
249.712	Streamer0	123	2	1	2122081	0	0
251.712	Streamer0	124	2	1	2122081	0	0
253.712	Streamer0	125	2	1	2122081	0	0
255.712	Streamer0	126	2	1	2122081	0	0
257.712	Streamer0	127	2	1	2122081	0	0
259.712	Streamer0	128	2	1	2122081	0	0
261.712	Streamer0	129	2	1	2122081	0	0
263.712	Streamer0	130	2	1	2122081	0	0
265.712	Streamer0	131	2	1	2122081	0	0
267.712	Streamer0	132	2	1	2122081	0	0
269.712	Streamer0	133	2	1	2122081	0	0
271.712	Streamer0	134	2	1	2122081	0	0
273.712	Streamer0	135	2	1	2122081	0	0
275.712	Streamer0	136	2	2	5108358	0	0,1
277.712	Streamer0	137	2	2	5108358	0	0,1
279.712	Streamer0	138	2	2	5108358	0	0,1
281.712	Streamer0	139	2	2	5108358	0	0,1
