Time	Node	Type	Packets	
0.5	RouterNet	CacheHits	0
0.5	RouterNet	CacheMisses	0
1	RouterNet	CacheHits	0
1	RouterNet	CacheMisses	0
1.5	RouterNet	CacheHits	0
1.5	RouterNet	CacheMisses	30
2	RouterNet	CacheHits	0
2	RouterNet	CacheMisses	41
2.5	RouterNet	CacheHits	38
2.5	RouterNet	CacheMisses	42
3	RouterNet	CacheHits	43
3	RouterNet	CacheMisses	45
3.5	RouterNet	CacheHits	43
3.5	RouterNet	CacheMisses	42
4	RouterNet	CacheHits	44
4	RouterNet	CacheMisses	42
4.5	RouterNet	CacheHits	43
4.5	RouterNet	CacheMisses	41
5	RouterNet	CacheHits	46
5	RouterNet	CacheMisses	41
5.5	RouterNet	CacheHits	43
5.5	RouterNet	CacheMisses	46
6	RouterNet	CacheHits	44
6	RouterNet	CacheMisses	42
6.5	RouterNet	CacheHits	43
6.5	RouterNet	CacheMisses	38
7	RouterNet	CacheHits	44
7	RouterNet	CacheMisses	36
7.5	RouterNet	CacheHits	41
7.5	RouterNet	CacheMisses	42
8	RouterNet	CacheHits	43
8	RouterNet	CacheMisses	46
8.5	RouterNet	CacheHits	43
8.5	RouterNet	CacheMisses	42
9	RouterNet	CacheHits	44
9	RouterNet	CacheMisses	41
9.5	RouterNet	CacheHits	43
9.5	RouterNet	CacheMisses	42
10	RouterNet	CacheHits	44
10	RouterNet	CacheMisses	42
10.5	RouterNet	CacheHits	45
10.5	RouterNet	CacheMisses	45
11	RouterNet	CacheHits	17
11	RouterNet	CacheMisses	69
11.5	RouterNet	CacheHits	14
11.5	RouterNet	CacheMisses	83
12	RouterNet	CacheHits	41
12	RouterNet	CacheMisses	85
12.5	RouterNet	CacheHits	0
12.5	RouterNet	CacheMisses	127
13	RouterNet	CacheHits	0
13	RouterNet	CacheMisses	128
13.5	RouterNet	CacheHits	0
13.5	RouterNet	CacheMisses	131
14	RouterNet	CacheHits	0
14	RouterNet	CacheMisses	131
14.5	RouterNet	CacheHits	0
14.5	RouterNet	CacheMisses	130
15	RouterNet	CacheHits	0
15	RouterNet	CacheMisses	134
15.5	RouterNet	CacheHits	0
15.5	RouterNet	CacheMisses	132
16	RouterNet	CacheHits	0
16	RouterNet	CacheMisses	133
16.5	RouterNet	CacheHits	0
16.5	RouterNet	CacheMisses	128
17	RouterNet	CacheHits	0
17	RouterNet	CacheMisses	130
17.5	RouterNet	CacheHits	0
17.5	RouterNet	CacheMisses	130
18	RouterNet	CacheHits	0
18	RouterNet	CacheMisses	127
18.5	RouterNet	CacheHits	0
18.5	RouterNet	CacheMisses	129
19	RouterNet	CacheHits	0
19	RouterNet	CacheMisses	125
19.5	RouterNet	CacheHits	0
19.5	RouterNet	CacheMisses	128
20	RouterNet	CacheHits	0
20	RouterNet	CacheMisses	130
20.5	RouterNet	CacheHits	0
20.5	RouterNet	CacheMisses	129
21	RouterNet	CacheHits	0
21	RouterNet	CacheMisses	129
21.5	RouterNet	CacheHits	0
21.5	RouterNet	CacheMisses	127
22	RouterNet	CacheHits	5
22	RouterNet	CacheMisses	118
22.5	RouterNet	CacheHits	31
22.5	RouterNet	CacheMisses	95
23	RouterNet	CacheHits	0
23	RouterNet	CacheMisses	126
23.5	RouterNet	CacheHits	26
23.5	RouterNet	CacheMisses	107
24	RouterNet	CacheHits	10
24	RouterNet	CacheMisses	119
24.5	RouterNet	CacheHits	0
24.5	RouterNet	CacheMisses	134
25	RouterNet	CacheHits	0
25	RouterNet	CacheMisses	137
25.5	RouterNet	CacheHits	0
25.5	RouterNet	CacheMisses	125
26	RouterNet	CacheHits	0
26	RouterNet	CacheMisses	133
26.5	RouterNet	CacheHits	0
26.5	RouterNet	CacheMisses	130
27	RouterNet	CacheHits	0
27	RouterNet	CacheMisses	130
27.5	RouterNet	CacheHits	0
27.5	RouterNet	CacheMisses	135
28	RouterNet	CacheHits	5
28	RouterNet	CacheMisses	124
28.5	RouterNet	CacheHits	0
28.5	RouterNet	CacheMisses	133
29	RouterNet	CacheHits	9
29	RouterNet	CacheMisses	120
29.5	RouterNet	CacheHits	0
29.5	RouterNet	CacheMisses	130
30	RouterNet	CacheHits	3
30	RouterNet	CacheMisses	135
30.5	RouterNet	CacheHits	4
30.5	RouterNet	CacheMisses	125
31	RouterNet	CacheHits	3
31	RouterNet	CacheMisses	128
31.5	RouterNet	CacheHits	0
31.5	RouterNet	CacheMisses	134
