Time	Node	SegmentNumber	SegmentDuration(sec)	SegmentRepID	SegmentBitrate(bit/s)	StallingTime(msec)	SegmentDepIds
3.72302	Streamer0	0	2	0	624758	0	
5.72302	Streamer0	1	2	0	624758	0	
7.72302	Streamer0	2	2	0	624758	0	
9.72302	Streamer0	3	2	0	624758	0	
11.723	Streamer0	4	2	0	624758	0	
13.723	Streamer0	5	2	0	624758	0	
15.723	Streamer0	6	2	0	624758	0	
17.723	Streamer0	7	2	0	624758	0	
19.723	Streamer0	8	2	0	624758	0	
21.723	Streamer0	9	2	0	624758	0	
23.723	Streamer0	10	2	0	624758	0	
25.723	Streamer0	11	2	0	624758	0	
27.723	Streamer0	12	2	0	624758	0	
29.723	Streamer0	13	2	0	624758	0	
31.723	Streamer0	14	2	1	2122081	0	0
33.723	Streamer0	15	2	1	2122081	0	0
35.723	Streamer0	16	2	1	2122081	0	0
37.723	Streamer0	17	2	1	2122081	0	0
39.723	Streamer0	18	2	1	2122081	0	0
41.723	Streamer0	19	2	1	2122081	0	0
43.723	Streamer0	20	2	1	2122081	0	0
45.723	Streamer0	21	2	1	2122081	0	0
47.723	Streamer0	22	2	1	2122081	0	0
49.723	Streamer0	23	2	1	2122081	0	0
51.723	Streamer0	24	2	1	2122081	0	0
53.723	Streamer0	25	2	1	2122081	0	0
55.723	Streamer0	26	2	1	2122081	0	0
57.723	Streamer0	27	2	1	2122081	0	0
59.723	Streamer0	28	2	1	2122081	0	0
61.723	Streamer0	29	2	1	2122081	0	0
63.723	Streamer0	30	2	1	2122081	0	0
65.723	Streamer0	31	2	1	2122081	0	0
67.723	Streamer0	32	2	1	2122081	0	0
69.723	Streamer0	33	2	1	2122081	0	0
71.723	Streamer0	34	2	1	2122081	0	0
73.723	Streamer0	35	2	2	5108358	0	0,1
75.723	Streamer0	36	2	2	5108358	0	0,1
77.723	Streamer0	37	2	2	5108358	0	0,1
79.723	Streamer0	38	2	2	5108358	0	0,1
81.723	Streamer0	39	2	2	5108358	0	0,1
83.723	Streamer0	40	2	1	2122081	0	0
85.723	Streamer0	41	2	1	2122081	0	0
87.723	Streamer0	42	2	1	2122081	0	0
89.723	Streamer0	43	2	1	2122081	0	0
91.723	Streamer0	44	2	1	2122081	0	0
93.723	Streamer0	45	2	1	2122081	0	0
95.723	Streamer0	46	2	1	2122081	0	0
97.723	Streamer0	47	2	1	2122081	0	0
99.723	Streamer0	48	2	1	2122081	0	0
101.723	Streamer0	49	2	1	2122081	0	0
