Time	Node	Type	Packets	
0.5	Router1	CacheHits	0
0.5	Router1	CacheMisses	0
1	Router1	CacheHits	0
1	Router1	CacheMisses	0
1.5	Router1	CacheHits	0
1.5	Router1	CacheMisses	0
2	Router1	CacheHits	0
2	Router1	CacheMisses	0
2.5	Router1	CacheHits	0
2.5	Router1	CacheMisses	39
3	Router1	CacheHits	0
3	Router1	CacheMisses	43
3.5	Router1	CacheHits	0
3.5	Router1	CacheMisses	43
4	Router1	CacheHits	0
4	Router1	CacheMisses	44
4.5	Router1	CacheHits	0
4.5	Router1	CacheMisses	43
5	Router1	CacheHits	0
5	Router1	CacheMisses	46
5.5	Router1	CacheHits	0
5.5	Router1	CacheMisses	43
6	Router1	CacheHits	0
6	Router1	CacheMisses	44
6.5	Router1	CacheHits	0
6.5	Router1	CacheMisses	43
7	Router1	CacheHits	0
7	Router1	CacheMisses	44
7.5	Router1	CacheHits	0
7.5	Router1	CacheMisses	41
8	Router1	CacheHits	0
8	Router1	CacheMisses	43
8.5	Router1	CacheHits	0
8.5	Router1	CacheMisses	43
9	Router1	CacheHits	0
9	Router1	CacheMisses	44
9.5	Router1	CacheHits	0
9.5	Router1	CacheMisses	43
10	Router1	CacheHits	0
10	Router1	CacheMisses	44
10.5	Router1	CacheHits	0
10.5	Router1	CacheMisses	44
11	Router1	CacheHits	0
11	Router1	CacheMisses	45
11.5	Router1	CacheHits	0
11.5	Router1	CacheMisses	43
12	Router1	CacheHits	0
12	Router1	CacheMisses	44
12.5	Router1	CacheHits	0
12.5	Router1	CacheMisses	40
13	Router1	CacheHits	0
13	Router1	CacheMisses	44
13.5	Router1	CacheHits	0
13.5	Router1	CacheMisses	44
14	Router1	CacheHits	0
14	Router1	CacheMisses	45
14.5	Router1	CacheHits	0
14.5	Router1	CacheMisses	44
15	Router1	CacheHits	0
15	Router1	CacheMisses	45
15.5	Router1	CacheHits	0
15.5	Router1	CacheMisses	44
16	Router1	CacheHits	0
16	Router1	CacheMisses	45
16.5	Router1	CacheHits	0
16.5	Router1	CacheMisses	44
17	Router1	CacheHits	0
17	Router1	CacheMisses	44
17.5	Router1	CacheHits	0
17.5	Router1	CacheMisses	43
18	Router1	CacheHits	0
18	Router1	CacheMisses	43
18.5	Router1	CacheHits	0
18.5	Router1	CacheMisses	41
19	Router1	CacheHits	0
19	Router1	CacheMisses	44
19.5	Router1	CacheHits	0
19.5	Router1	CacheMisses	43
20	Router1	CacheHits	0
20	Router1	CacheMisses	46
20.5	Router1	CacheHits	0
20.5	Router1	CacheMisses	43
21	Router1	CacheHits	0
21	Router1	CacheMisses	41
21.5	Router1	CacheHits	0
21.5	Router1	CacheMisses	46
22	Router1	CacheHits	0
22	Router1	CacheMisses	40
22.5	Router1	CacheHits	0
22.5	Router1	CacheMisses	44
23	Router1	CacheHits	0
23	Router1	CacheMisses	44
23.5	Router1	CacheHits	0
23.5	Router1	CacheMisses	45
24	Router1	CacheHits	0
24	Router1	CacheMisses	42
24.5	Router1	CacheHits	0
24.5	Router1	CacheMisses	45
25	Router1	CacheHits	0
25	Router1	CacheMisses	46
25.5	Router1	CacheHits	0
25.5	Router1	CacheMisses	41
26	Router1	CacheHits	0
26	Router1	CacheMisses	46
26.5	Router1	CacheHits	0
26.5	Router1	CacheMisses	43
27	Router1	CacheHits	0
27	Router1	CacheMisses	46
27.5	Router1	CacheHits	0
27.5	Router1	CacheMisses	43
28	Router1	CacheHits	0
28	Router1	CacheMisses	43
28.5	Router1	CacheHits	0
28.5	Router1	CacheMisses	46
29	Router1	CacheHits	0
29	Router1	CacheMisses	43
29.5	Router1	CacheHits	0
29.5	Router1	CacheMisses	44
30	Router1	CacheHits	0
30	Router1	CacheMisses	45
30.5	Router1	CacheHits	0
30.5	Router1	CacheMisses	44
31	Router1	CacheHits	0
31	Router1	CacheMisses	45
31.5	Router1	CacheHits	0
31.5	Router1	CacheMisses	44
32	Router1	CacheHits	0
32	Router1	CacheMisses	43
32.5	Router1	CacheHits	0
32.5	Router1	CacheMisses	46
33	Router1	CacheHits	0
33	Router1	CacheMisses	45
33.5	Router1	CacheHits	0
33.5	Router1	CacheMisses	45
34	Router1	CacheHits	0
34	Router1	CacheMisses	44
34.5	Router1	CacheHits	0
34.5	Router1	CacheMisses	43
35	Router1	CacheHits	0
35	Router1	CacheMisses	46
35.5	Router1	CacheHits	0
35.5	Router1	CacheMisses	45
36	Router1	CacheHits	0
36	Router1	CacheMisses	46
36.5	Router1	CacheHits	2
36.5	Router1	CacheMisses	41
37	Router1	CacheHits	0
37	Router1	CacheMisses	46
37.5	Router1	CacheHits	0
37.5	Router1	CacheMisses	45
38	Router1	CacheHits	0
38	Router1	CacheMisses	44
38.5	Router1	CacheHits	0
38.5	Router1	CacheMisses	44
39	Router1	CacheHits	0
39	Router1	CacheMisses	45
39.5	Router1	CacheHits	0
39.5	Router1	CacheMisses	46
40	Router1	CacheHits	0
40	Router1	CacheMisses	45
40.5	Router1	CacheHits	2
40.5	Router1	CacheMisses	42
41	Router1	CacheHits	0
41	Router1	CacheMisses	45
41.5	Router1	CacheHits	0
41.5	Router1	CacheMisses	46
42	Router1	CacheHits	0
42	Router1	CacheMisses	45
42.5	Router1	CacheHits	0
42.5	Router1	CacheMisses	44
43	Router1	CacheHits	0
43	Router1	CacheMisses	45
43.5	Router1	CacheHits	0
43.5	Router1	CacheMisses	44
44	Router1	CacheHits	0
44	Router1	CacheMisses	43
44.5	Router1	CacheHits	0
44.5	Router1	CacheMisses	46
45	Router1	CacheHits	0
45	Router1	CacheMisses	43
45.5	Router1	CacheHits	0
45.5	Router1	CacheMisses	43
46	Router1	CacheHits	0
46	Router1	CacheMisses	44
46.5	Router1	CacheHits	0
46.5	Router1	CacheMisses	45
47	Router1	CacheHits	0
47	Router1	CacheMisses	46
47.5	Router1	CacheHits	0
47.5	Router1	CacheMisses	45
48	Router1	CacheHits	0
48	Router1	CacheMisses	44
48.5	Router1	CacheHits	0
48.5	Router1	CacheMisses	43
49	Router1	CacheHits	0
49	Router1	CacheMisses	45
49.5	Router1	CacheHits	0
49.5	Router1	CacheMisses	46
50	Router1	CacheHits	0
50	Router1	CacheMisses	45
50.5	Router1	CacheHits	0
50.5	Router1	CacheMisses	46
51	Router1	CacheHits	2
51	Router1	CacheMisses	41
51.5	Router1	CacheHits	0
51.5	Router1	CacheMisses	43
52	Router1	CacheHits	0
52	Router1	CacheMisses	46
52.5	Router1	CacheHits	0
52.5	Router1	CacheMisses	45
53	Router1	CacheHits	0
53	Router1	CacheMisses	46
53.5	Router1	CacheHits	0
53.5	Router1	CacheMisses	45
54	Router1	CacheHits	0
54	Router1	CacheMisses	46
54.5	Router1	CacheHits	0
54.5	Router1	CacheMisses	41
55	Router1	CacheHits	0
55	Router1	CacheMisses	46
55.5	Router1	CacheHits	0
55.5	Router1	CacheMisses	43
56	Router1	CacheHits	0
56	Router1	CacheMisses	43
56.5	Router1	CacheHits	0
56.5	Router1	CacheMisses	41
57	Router1	CacheHits	0
57	Router1	CacheMisses	46
57.5	Router1	CacheHits	0
57.5	Router1	CacheMisses	45
58	Router1	CacheHits	0
58	Router1	CacheMisses	44
58.5	Router1	CacheHits	0
58.5	Router1	CacheMisses	45
59	Router1	CacheHits	0
59	Router1	CacheMisses	46
59.5	Router1	CacheHits	0
59.5	Router1	CacheMisses	43
60	Router1	CacheHits	0
60	Router1	CacheMisses	46
60.5	Router1	CacheHits	0
60.5	Router1	CacheMisses	45
61	Router1	CacheHits	0
61	Router1	CacheMisses	46
61.5	Router1	CacheHits	0
61.5	Router1	CacheMisses	45
62	Router1	CacheHits	0
62	Router1	CacheMisses	46
62.5	Router1	CacheHits	0
62.5	Router1	CacheMisses	45
63	Router1	CacheHits	0
63	Router1	CacheMisses	44
63.5	Router1	CacheHits	0
63.5	Router1	CacheMisses	46
64	Router1	CacheHits	0
64	Router1	CacheMisses	45
64.5	Router1	CacheHits	0
64.5	Router1	CacheMisses	46
65	Router1	CacheHits	0
65	Router1	CacheMisses	45
65.5	Router1	CacheHits	0
65.5	Router1	CacheMisses	46
66	Router1	CacheHits	0
66	Router1	CacheMisses	45
66.5	Router1	CacheHits	0
66.5	Router1	CacheMisses	46
67	Router1	CacheHits	0
67	Router1	CacheMisses	45
67.5	Router1	CacheHits	0
67.5	Router1	CacheMisses	46
68	Router1	CacheHits	0
68	Router1	CacheMisses	44
68.5	Router1	CacheHits	0
68.5	Router1	CacheMisses	40
69	Router1	CacheHits	0
69	Router1	CacheMisses	43
69.5	Router1	CacheHits	0
69.5	Router1	CacheMisses	44
70	Router1	CacheHits	0
70	Router1	CacheMisses	43
70.5	Router1	CacheHits	0
70.5	Router1	CacheMisses	45
71	Router1	CacheHits	0
71	Router1	CacheMisses	44
71.5	Router1	CacheHits	0
71.5	Router1	CacheMisses	45
72	Router1	CacheHits	0
72	Router1	CacheMisses	46
72.5	Router1	CacheHits	0
72.5	Router1	CacheMisses	45
73	Router1	CacheHits	0
73	Router1	CacheMisses	46
73.5	Router1	CacheHits	0
73.5	Router1	CacheMisses	45
74	Router1	CacheHits	0
74	Router1	CacheMisses	46
74.5	Router1	CacheHits	0
74.5	Router1	CacheMisses	45
75	Router1	CacheHits	0
75	Router1	CacheMisses	44
75.5	Router1	CacheHits	0
75.5	Router1	CacheMisses	41
76	Router1	CacheHits	0
76	Router1	CacheMisses	43
76.5	Router1	CacheHits	0
76.5	Router1	CacheMisses	44
77	Router1	CacheHits	0
77	Router1	CacheMisses	45
77.5	Router1	CacheHits	0
77.5	Router1	CacheMisses	43
78	Router1	CacheHits	0
78	Router1	CacheMisses	44
78.5	Router1	CacheHits	0
78.5	Router1	CacheMisses	46
79	Router1	CacheHits	0
79	Router1	CacheMisses	45
79.5	Router1	CacheHits	0
79.5	Router1	CacheMisses	44
80	Router1	CacheHits	0
80	Router1	CacheMisses	44
80.5	Router1	CacheHits	0
80.5	Router1	CacheMisses	45
81	Router1	CacheHits	0
81	Router1	CacheMisses	44
81.5	Router1	CacheHits	0
81.5	Router1	CacheMisses	43
82	Router1	CacheHits	0
82	Router1	CacheMisses	44
82.5	Router1	CacheHits	0
82.5	Router1	CacheMisses	43
83	Router1	CacheHits	0
83	Router1	CacheMisses	43
83.5	Router1	CacheHits	0
83.5	Router1	CacheMisses	44
84	Router1	CacheHits	0
84	Router1	CacheMisses	45
84.5	Router1	CacheHits	2
84.5	Router1	CacheMisses	42
85	Router1	CacheHits	0
85	Router1	CacheMisses	45
